Aletas,D_in_PVC (mm),D_out_PVC (mm),D_aleta (mm),Proporción Serpentín,C_coil (mm),T_out_hot (°C),UA Total (W/K),Efectividad,Altura Serpentín (m),Número de Vueltas
0,34.0,40.0,12.065,0.6,20.4,18.834,5.2968,0.0729,0.146,14.6622
0,34.0,40.0,6.985,0.7,23.8,18.8368,5.2835,0.0727,0.1264,12.6038
0,34.0,40.0,7.62,0.7,23.8,18.8368,5.2835,0.0727,0.1264,12.6038
0,34.0,40.0,8.255,0.7,23.8,18.8368,5.2835,0.0727,0.1264,12.6038
0,34.0,40.0,8.89,0.7,23.8,18.8368,5.2835,0.0727,0.1264,12.6038
0,34.0,40.0,9.525,0.7,23.8,18.8368,5.2835,0.0727,0.1264,12.6038
0,34.0,40.0,10.16,0.7,23.8,18.8368,5.2835,0.0727,0.1264,12.6038
0,34.0,40.0,10.795,0.7,23.8,18.8368,5.2835,0.0727,0.1264,12.6038
0,34.0,40.0,11.43,0.7,23.8,18.8368,5.2835,0.0727,0.1264,12.6038
0,34.0,40.0,12.065,0.7,23.8,18.8368,5.2835,0.0727,0.1264,12.6038
0,34.0,40.0,6.985,0.8,27.2,18.8393,5.2717,0.0725,0.1116,11.049
0,34.0,40.0,7.62,0.8,27.2,18.8393,5.2717,0.0725,0.1116,11.049
0,34.0,40.0,8.255,0.8,27.2,18.8393,5.2717,0.0725,0.1116,11.049
0,34.0,40.0,8.89,0.8,27.2,18.8393,5.2717,0.0725,0.1116,11.049
0,34.0,40.0,9.525,0.8,27.2,18.8393,5.2717,0.0725,0.1116,11.049
